17:56:42.585558 IP 20.42.73.27.443 > 192.168.0.228.39202: Flags [S.], seq 2899540012, ack 1386815471, win 65535, options [mss 1440,nop,wscale 8,nop,nop,sackOK], length 0
17:56:46.123585 IP 20.42.65.90.443 > 192.168.0.228.38236: Flags [S.], seq 2618934225, ack 471718333, win 65535, options [mss 1440,nop,wscale 8,nop,nop,sackOK], length 0
17:56:48.219383 IP 104.208.16.90.443 > 192.168.0.228.36802: Flags [S.], seq 3188309805, ack 1021148925, win 65535, options [mss 1440,nop,wscale 8,nop,nop,sackOK], length 0
17:56:55.356948 IP 52.168.117.169.443 > 192.168.0.228.32788: Flags [S.], seq 748344696, ack 4187190042, win 65535, options [mss 1440,nop,wscale 8,nop,nop,sackOK], length 0
17:56:59.918542 IP 20.42.73.27.443 > 192.168.0.228.48248: Flags [S.], seq 4114729210, ack 3325616355, win 65535, options [mss 1440,nop,wscale 8,nop,nop,sackOK], length 0
17:58:04.206712 IP 52.168.112.66.443 > 192.168.0.228.53246: Flags [S.], seq 4039327962, ack 650714596, win 65535, options [mss 1440,nop,wscale 8,nop,nop,sackOK], length 0
17:58:06.516407 IP 52.168.112.66.443 > 192.168.0.228.53250: Flags [S.], seq 3940559784, ack 344516742, win 65535, options [mss 1440,nop,wscale 8,nop,nop,sackOK], length 0
17:58:22.811255 IP 52.168.112.66.443 > 192.168.0.228.59788: Flags [S.], seq 2126609888, ack 3931231607, win 65535, options [mss 1440,nop,wscale 8,nop,nop,sackOK], length 0
17:58:42.564464 IP 13.69.239.73.443 > 192.168.0.228.49304: Flags [S.], seq 2788674364, ack 3424746266, win 65535, options [mss 1440,nop,wscale 8,nop,nop,sackOK], length 0
17:58:45.037822 IP 20.42.65.85.443 > 192.168.0.228.57984: Flags [S.], seq 14275805, ack 1924439663, win 65535, options [mss 1440,nop,wscale 8,nop,nop,sackOK], length 0

