frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.request.method,http.host,http.user_agent,http.response.code,dns.qry.name,dns.resp.name,dns.resp.type,dns.resp.ttl,tls.handshake.ciphersuite,tls.handshake.ciphersuite,tls.handshake.session_id,tls.handshake.certificates
1,May 18, 2023 20:44:46.181257551 -03,172.16.9.99,224.0.0.251,,,5353,5353,,,,,Android-2.local,Android-2.local,Android-2.local,Android-2.local,1,28,120,120,,,,
2,May 18, 2023 20:44:46.183398313 -03,172.16.5.62,224.0.0.251,,,5353,5353,,,,,_companion-link._tcp.local,_sleep-proxy._udp.local,<Root>,41,,,,,
3,May 18, 2023 20:44:46.283871394 -03,172.16.0.235,224.0.0.251,,,5353,5353,,,,,,235.0.16.172.in-addr.arpa,E.4.4.C.8.A.5.8.9.0.F.D.6.E.9.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa,Android-119.local,Android-119.local,235.0.16.172.in-addr.arpa,E.4.4.C.8.A.5.8.9.0.F.D.6.E.9.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa,Android-119.local,12,12,1,28,47,12,47,12,47,1,28,120,120,120,120,120,120,120,,,,
4,May 18, 2023 20:44:46.285439960 -03,172.16.0.253,224.0.0.251,,,5353,5353,,,,,{"nm":"Dr. Arthur Leitão","as":"[8194]","ip":"253"}._mi-connect._udp.local,,33,120,,,,
5,May 18, 2023 20:44:46.327985270 -03,172.16.5.213,239.255.255.250,,,36111,1900,M-SEARCH,239.255.255.250:1900,Google Chrome/113.0.5672.126 Linux,,,,,,,,,
6,May 18, 2023 20:44:46.392505932 -03,172.16.5.71,224.0.0.251,,,5353,5353,,,,,,{"nm":"Redmi Note 11","as":"[8194]","ip":"71"}._mi-connect._udp.local,_services._dns-sd._udp.local,_mi-connect._udp.local,71.5.16.172.in-addr.arpa,1.B.D.8.2.0.E.F.F.F.9.4.2.D.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa,Android-2.local,Android-2.local,{"nm":"Redmi Note 11","as":"[8194]","ip":"71"}._mi-connect._udp.local,71.5.16.172.in-addr.arpa,1.B.D.8.2.0.E.F.F.F.9.4.2.D.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa,Android-2.local,16,12,12,12,12,33,1,28,47,16,33,47,12,47,12,47,1,28,4500,4500,4500,120,120,120,120,120,4500,120,120,120,,,,
7,May 18, 2023 20:44:46.392520182 -03,172.16.7.153,224.0.0.251,,,5353,5353,,,,,,iPad de Pedro._device-info._tcp.local,_companion-link._tcp.local,iPad de Pedro._companion-link._tcp.local,16,12,47,16,33,4500,4500,4500,,,,
8,May 18, 2023 20:44:46.392520770 -03,172.16.0.40,224.0.0.251,,,5353,5353,,,,,{"nm":"Audinete","as":"[8194]","ip":"40"}._mi-connect._udp.local,Android-2.local,Android-2.local,33,28,120,120,,,,
9,May 18, 2023 20:44:46.392520302 -03,172.16.4.131,255.255.255.255,,,68,67,,,,,,,,,,,,
10,May 18, 2023 20:44:46.491297701 -03,172.16.1.190,224.0.0.251,,,5353,5353,,,,,,_services._dns-sd._udp.local,12,4500,,,,
11,May 18, 2023 20:44:46.491307571 -03,172.16.8.140,224.0.0.251,,,5353,5353,,,,,_%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local,_googlecast._tcp.local,,,,,,,
12,May 18, 2023 20:44:46.591226065 -03,172.16.5.62,224.0.0.251,,,5353,5353,,,,,iPad de Erika Vitoria._companion-link._tcp.local,<Root>,41,,,,,
13,May 18, 2023 20:44:46.697882042 -03,172.16.0.183,224.0.0.251,,,5353,5353,,,,,,_mi-connect._udp.local,12,0,,,,
14,May 18, 2023 20:44:46.795955975 -03,172.16.2.249,224.0.0.251,,,53739,5353,,,,,_mi-connect._udp.local,,,,,,,
15,May 18, 2023 20:44:46.796041098 -03,172.16.0.40,224.0.0.251,,,5353,5353,,,,,{"nm":"Audinete","as":"[8194]","ip":"40"}._mi-connect._udp.local,Android-2.local,Android-2.local,33,28,120,120,,,,
16,May 18, 2023 20:44:46.800388283 -03,172.16.8.140,224.0.0.251,,,5353,5353,,,,,{"nm":"Redmi Note 10","as":"[8194]","ip":"140"}._mi-connect._udp.local,,33,120,,,,
17,May 18, 2023 20:44:46.800395225 -03,172.16.1.34,224.0.0.251,,,5353,5353,,,,,_companion-link._tcp.local,_sleep-proxy._udp.local,_companion-link._tcp.local,_companion-link._tcp.local,<Root>,12,12,41,4500,4500,,,,
18,May 18, 2023 20:44:47.000382907 -03,172.16.4.131,172.16.63.255,,,137,137,,,,,,,,,,,,
19,May 18, 2023 20:44:47.000926630 -03,172.16.9.95,224.0.0.251,,,5353,5353,,,,,{"nm":"Redmi Note 10S","as":"[8194]","ip":"95"}._mi-connect._udp.local,Android-6.local,Android-6.local,Android-6.local,Android-6.local,33,1,28,120,120,120,,,,
20,May 18, 2023 20:44:47.002990032 -03,172.16.4.131,172.16.63.255,,,137,137,,,,,,,,,,,,
21,May 18, 2023 20:44:47.002990183 -03,172.16.4.131,172.16.63.255,,,137,137,,,,,,,,,,,,
22,May 18, 2023 20:44:47.004224412 -03,172.16.1.51,224.0.0.251,,,5353,5353,,,,,iPad de Erika Vitoria._companion-link._tcp.local,<Root>,41,,,,,
23,May 18, 2023 20:44:47.004233675 -03,172.16.2.159,224.0.0.251,,,5353,5353,,,,,_%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local,_674A0243._sub._googlecast._tcp.local,_8E6C866D._sub._googlecast._tcp.local,_googlecast._tcp.local,,,,,,,
24,May 18, 2023 20:44:47.107059042 -03,172.16.9.95,224.0.0.251,,,5353,5353,,,,,{"nm":"Redmi Note 10S","as":"[8194]","ip":"95"}._mi-connect._udp.local,Android-7.local,Android-7.local,Android-7.local,Android-7.local,33,1,28,120,120,120,,,,
25,May 18, 2023 20:44:47.205540003 -03,172.16.5.62,224.0.0.251,,,5353,5353,,,,,_companion-link._tcp.local,_sleep-proxy._udp.local,_companion-link._tcp.local,_companion-link._tcp.local,<Root>,12,12,41,4500,4500,,,,
26,May 18, 2023 20:44:47.206134032 -03,172.16.2.249,224.0.0.251,,,53739,5353,,,,,iPad de Pedro._companion-link._tcp.local,,,,,,,
27,May 18, 2023 20:44:47.309991385 -03,172.16.2.249,224.0.0.251,,,53739,5353,,,,,iPad de Pedro._companion-link._tcp.local,,,,,,,
28,May 18, 2023 20:44:47.309999018 -03,172.16.4.134,224.0.0.251,,,5353,5353,,,,,_companion-link._tcp.local,_homekit._tcp.local,_hap._tcp.local,_hap._udp.local,_sleep-proxy._udp.local,<Root>,41,,,,,
29,May 18, 2023 20:44:47.310001967 -03,172.16.6.122,224.0.0.251,,,5353,5353,,,,,Android.local,Android.local,{"nm":"POCO X4 Pro 5G","as":"[8194]","ip":"122"}._mi-connect._udp.local,Android.local,Android.local,1,28,33,120,120,120,,,,
30,May 18, 2023 20:44:47.414286291 -03,172.16.5.242,224.0.0.251,,,5353,5353,,,,,,242.5.16.172.in-addr.arpa,4.5.B.D.D.6.E.F.F.F.8.8.F.1.2.E.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa,Android-62.local,Android-62.local,242.5.16.172.in-addr.arpa,4.5.B.D.D.6.E.F.F.F.8.8.F.1.2.E.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa,Android-62.local,12,12,1,28,47,12,47,12,47,1,28,120,120,120,120,120,120,120,,,,
31,May 18, 2023 20:44:47.414320097 -03,172.16.9.95,224.0.0.251,,,5353,5353,,,,,{"nm":"Redmi Note 10S","as":"[8194]","ip":"95"}._mi-connect._udp.local,Android-7.local,Android-7.local,Android-7.local,Android-7.local,33,1,28,120,120,120,,,,
32,May 18, 2023 20:44:47.414324190 -03,172.16.2.249,224.0.0.251,,,53739,5353,,,,,iPad de Pedro._companion-link._tcp.local,,,,,,,
33,May 18, 2023 20:44:47.518203564 -03,172.16.2.249,224.0.0.251,,,53739,5353,,,,,iPad de Pedro._companion-link._tcp.local,,,,,,,
34,May 18, 2023 20:44:47.720097917 -03,172.16.0.85,224.0.0.251,,,5353,5353,,,,,,Android.local,Android.local,Android.local,1,28,47,1,28,120,120,120,,,,
35,May 18, 2023 20:44:47.722919449 -03,172.16.8.133,224.0.0.251,,,5353,5353,,,,,_companion-link._tcp.local,_sleep-proxy._udp.local,_companion-link._tcp.local,_companion-link._tcp.local,<Root>,12,12,41,4498,4499,,,,
36,May 18, 2023 20:44:47.722928874 -03,172.16.4.131,172.16.63.255,,,137,137,,,,,,,,,,,,
37,May 18, 2023 20:44:47.722928991 -03,172.16.4.131,172.16.63.255,,,137,137,,,,,,,,,,,,
38,May 18, 2023 20:44:47.824508034 -03,172.16.5.90,224.0.0.251,,,5353,5353,,,,,{"nm":"Lucas Aguiar","as":"[8194]","ip":"69"}._mi-connect._udp.local,Android-48.local,Android-48.local,Android-48.local,Android-48.local,33,1,28,120,120,120,,,,
39,May 18, 2023 20:44:47.824526998 -03,172.16.9.21,224.0.0.251,,,5353,5353,,,,,,iPad de Erika Vitoria._device-info._tcp.local,_companion-link._tcp.local,16,12,4500,4500,,,,
40,May 18, 2023 20:44:47.824529872 -03,172.16.9.95,224.0.0.251,,,5353,5353,,,,,{"nm":"Redmi Note 10S","as":"[8194]","ip":"95"}._mi-connect._udp.local,Android-7.local,Android-7.local,Android-7.local,Android-7.local,33,1,28,120,120,120,,,,
41,May 18, 2023 20:44:47.924936864 -03,172.16.5.248,224.0.0.251,,,5353,5353,,,,,_companion-link._tcp.local,_sleep-proxy._udp.local,<Root>,41,,,,,
42,May 18, 2023 20:44:48.027727820 -03,172.16.5.90,224.0.0.251,,,5353,5353,,,,,{"nm":"Lucas Aguiar","as":"[8194]","ip":"69"}._mi-connect._udp.local,Android-48.local,Android-48.local,Android-48.local,Android-48.local,33,1,28,120,120,120,,,,
43,May 18, 2023 20:44:48.027732416 -03,172.16.7.250,224.0.0.251,,,5353,5353,,,,,,DESKTOP-5N4ENBI.local,47,1,28,120,,,,
44,May 18, 2023 20:44:48.027732519 -03,172.16.7.250,224.0.0.251,,,5353,5353,,,,,,DESKTOP-5N4ENBI.local,47,1,28,120,,,,
45,May 18, 2023 20:44:48.129675369 -03,172.16.8.140,224.0.0.251,,,5353,5353,,,,,,Android-3.local,Android-3.local,1,47,1,28,120,120,,,,
46,May 18, 2023 20:44:48.129683192 -03,172.16.6.93,224.0.0.251,,,5353,5353,,,,,lb._dns-sd._udp.local,_companion-link._tcp.local,_homekit._tcp.local,_sleep-proxy._udp.local,_companion-link._tcp.local,_companion-link._tcp.local,<Root>,12,12,41,4499,4499,,,,
47,May 18, 2023 20:44:48.129688293 -03,172.16.6.179,224.0.0.251,,,5353,5353,,,,,_companion-link._tcp.local,_sleep-proxy._udp.local,<Root>,41,,,,,
48,May 18, 2023 20:44:48.131908354 -03,172.16.8.206,224.0.0.251,,,5353,5353,,,,,_companion-link._tcp.local,_sleep-proxy._udp.local,<Root>,41,,,,,
49,May 18, 2023 20:44:48.131909576 -03,172.16.0.3,224.0.0.251,,,5353,5353,,,,,,_googlecast._tcp.local,UnionTV-1eb827f84c5b4d6966c22b214fc4aefc._googlecast._tcp.local,1eb827f8-4c5b-4d69-66c2-2b214fc4aefc.local,12,16,33,1,120,4500,120,120,,,,
50,May 18, 2023 20:44:48.131913947 -03,172.16.7.153,224.0.0.251,,,5353,5353,,,,,,iPad de Pedro._companion-link._tcp.local,47,16,33,4500,,,,
51,May 18, 2023 20:44:48.239653815 -03,172.16.2.249,224.0.0.251,,,53739,5353,,,,,{"nm":"POCO X4 Pro 5G","as":"[8194]","ip":"122"}._mi-connect._udp.local,,,,,,,
52,May 18, 2023 20:44:48.239664658 -03,172.16.4.134,224.0.0.251,,,5353,5353,,,,,_companion-link._tcp.local,_homekit._tcp.local,_hap._tcp.local,_hap._udp.local,_sleep-proxy._udp.local,_companion-link._tcp.local,<Root>,12,41,4500,,,,
53,May 18, 2023 20:44:48.333057586 -03,172.16.1.190,224.0.0.251,,,5353,5353,,,,,,{"nm":"Redmi Note 11","as":"[8194]","ip":"190"}._mi-connect._udp.local,_mi-connect._udp.local,190.1.16.172.in-addr.arpa,E.F.3.E.E.D.0.1.2.A.8.6.8.7.2.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa,Android-5.local,Android-5.local,{"nm":"Redmi Note 11","as":"[8194]","ip":"190"}._mi-connect._udp.local,190.1.16.172.in-addr.arpa,E.F.3.E.E.D.0.1.2.A.8.6.8.7.2.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa,Android-5.local,16,12,12,12,33,1,28,47,16,33,47,12,47,12,47,1,28,4500,4500,120,120,120,120,120,4500,120,120,120,,,,
54,May 18, 2023 20:44:48.334629005 -03,172.16.8.64,172.16.63.255,,,137,137,,,,,,,,,,,,
55,May 18, 2023 20:44:48.436171809 -03,172.16.5.25,224.0.0.251,,,5353,5353,,,,,lb._dns-sd._udp.local,_companion-link._tcp.local,_airplay._tcp.local,_raop._tcp.local,_homekit._tcp.local,_companion-link._tcp.local,<Root>,12,41,4500,,,,
56,May 18, 2023 20:44:48.436176165 -03,172.16.4.131,172.16.63.255,,,137,137,,,,,,,,,,,,
57,May 18, 2023 20:44:48.436208893 -03,172.16.8.206,224.0.0.251,,,5353,5353,,,,,iPad de Pedro._companion-link._tcp.local,<Root>,41,,,,,
58,May 18, 2023 20:44:48.436212582 -03,172.16.3.249,224.0.0.251,,,5353,5353,,,,,iPad de Pedro._companion-link._tcp.local,<Root>,41,,,,,
59,May 18, 2023 20:44:48.440040217 -03,172.16.4.131,172.16.63.255,,,137,137,,,,,,,,,,,,
60,May 18, 2023 20:44:48.440045315 -03,172.16.1.15,224.0.0.251,,,5353,5353,,,,,_airplay._tcp.local,_raop._tcp.local,<Root>,41,,,,,
61,May 18, 2023 20:44:48.440045722 -03,172.16.0.40,224.0.0.251,,,5353,5353,,,,,{"nm":"Audinete","as":"[8194]","ip":"40"}._mi-connect._udp.local,Android-4.local,Android-4.local,Android-4.local,Android-4.local,33,1,28,120,120,120,,,,
62,May 18, 2023 20:44:48.440045360 -03,172.16.0.85,224.0.0.251,,,5353,5353,,,,,Android.local,Android.local,Android.local,Android.local,1,28,120,120,,,,
63,May 18, 2023 20:44:48.546803028 -03,172.16.5.25,224.0.0.251,,,5353,5353,,,,,iPad de Pedro._companion-link._tcp.local,<Root>,41,,,,,
64,May 18, 2023 20:44:48.546811840 -03,172.16.4.134,224.0.0.251,,,5353,5353,,,,,iPad de Pedro._companion-link._tcp.local,<Root>,41,,,,,
65,May 18, 2023 20:44:48.546826781 -03,172.16.0.94,224.0.0.251,,,5353,5353,,,,,Android-6.local,Android-6.local,1,120,,,,
66,May 18, 2023 20:44:48.743736741 -03,172.16.7.30,224.0.0.251,,,5353,5353,,,,,_companion-link._tcp.local,_companion-link._tcp.local,_companion-link._tcp.local,<Root>,12,12,41,4500,4500,,,,
67,May 18, 2023 20:44:48.745965620 -03,172.16.2.249,224.0.0.251,,,53739,5353,,,,,iPad de Erika Vitoria._companion-link._tcp.local,,,,,,,
68,May 18, 2023 20:44:48.843945948 -03,0.0.0.0,255.255.255.255,,,68,67,,,,,,,,,,,,
69,May 18, 2023 20:44:48.844752894 -03,172.16.9.95,224.0.0.251,,,5353,5353,,,,,{"nm":"Redmi Note 10S","as":"[8194]","ip":"95"}._mi-connect._udp.local,Android-8.local,Android-8.local,Android-8.local,Android-8.local,33,1,28,120,120,120,,,,
70,May 18, 2023 20:44:48.855506045 -03,172.16.0.195,224.0.0.251,,,5353,5353,,,,,Android-181.local,Android-181.local,Android-181.local,Android-181.local,1,28,120,120,,,,
71,May 18, 2023 20:44:48.855512247 -03,172.16.7.183,224.0.0.251,,,5353,5353,,,,,_companion-link._tcp.local,_airplay._tcp.local,_raop._tcp.local,_sleep-proxy._udp.local,_companion-link._tcp.local,_companion-link._tcp.local,<Root>,12,12,41,4500,4500,,,,
72,May 18, 2023 20:44:48.855530503 -03,172.16.0.40,224.0.0.251,,,5353,5353,,,,,{"nm":"Audinete","as":"[8194]","ip":"40"}._mi-connect._udp.local,Android-4.local,Android-4.local,Android-4.local,Android-4.local,33,1,28,120,120,120,,,,
73,May 18, 2023 20:44:48.947139987 -03,172.16.7.203,224.0.0.251,,,5353,5353,,,,,1eb827f8-4c5b-4d69-66c2-2b214fc4aefc.local,,,,,,,
74,May 18, 2023 20:44:48.948585137 -03,172.16.0.86,224.0.0.251,,,5353,5353,,,,,_%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local,_googlecast._tcp.local,,,,,,,
75,May 18, 2023 20:44:49.049231768 -03,0.0.0.0,255.255.255.255,,,68,67,,,,,,,,,,,,
76,May 18, 2023 20:44:49.049235646 -03,172.16.7.153,224.0.0.251,,,5353,5353,,,,,,iPad de Pedro._companion-link._tcp.local,iPad de Pedro._companion-link._tcp.local,16,47,16,33,4500,4500,,,,
77,May 18, 2023 20:44:49.050162289 -03,172.16.0.34,255.255.255.255,,,68,67,,,,,,,,,,,,
78,May 18, 2023 20:44:49.154675875 -03,0.0.0.0,255.255.255.255,,,68,67,,,,,,,,,,,,
79,May 18, 2023 20:44:49.154701175 -03,172.16.0.85,224.0.0.251,,,5353,5353,,,,,Android.local,Android.local,Android.local,Android.local,1,28,120,120,,,,
80,May 18, 2023 20:44:49.154703457 -03,172.16.0.5,224.0.0.251,,,5353,5353,,,,,_%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local,_googlecast._tcp.local,,,,,,,
81,May 18, 2023 20:44:49.154703841 -03,172.16.8.64,172.16.63.255,,,137,137,,,,,,,,,,,,
82,May 18, 2023 20:44:49.259397412 -03,172.16.0.64,224.0.0.251,,,5353,5353,,,,,,{"nm":"Redmi Note 9S","as":"[8194]","ip":"64"}._mi-connect._udp.local,_services._dns-sd._udp.local,_mi-connect._udp.local,{"nm":"Redmi Note 9S","as":"[8194]","ip":"64"}._mi-connect._udp.local,16,12,12,33,47,16,33,4500,4500,4500,120,4500,,,,
83,May 18, 2023 20:44:49.458705212 -03,172.16.9.15,224.0.0.251,,,5353,5353,,,,,_raop._tcp.local,_airplay._tcp.local,,,,,,,
84,May 18, 2023 20:44:49.458706348 -03,172.16.9.95,224.0.0.251,,,5353,5353,,,,,{"nm":"Redmi Note 10S","as":"[8194]","ip":"95"}._mi-connect._udp.local,Android-9.local,Android-9.local,Android-9.local,Android-9.local,33,1,28,120,120,120,,,,
85,May 18, 2023 20:44:49.460877405 -03,172.16.0.40,224.0.0.251,,,5353,5353,,,,,,{"nm":"Audinete","as":"[8194]","ip":"40"}._mi-connect._udp.local,_services._dns-sd._udp.local,_mi-connect._udp.local,40.0.16.172.in-addr.arpa,0.1.9.9.8.B.A.F.B.1.6.2.3.2.E.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa,Android-4.local,Android-4.local,{"nm":"Audinete","as":"[8194]","ip":"40"}._mi-connect._udp.local,40.0.16.172.in-addr.arpa,0.1.9.9.8.B.A.F.B.1.6.2.3.2.E.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa,Android-4.local,16,12,12,12,12,33,1,28,47,16,33,47,12,47,12,47,1,28,4500,4500,4500,120,120,120,120,120,4500,120,120,120,,,,
86,May 18, 2023 20:44:49.462486078 -03,172.16.7.250,224.0.0.251,,,5353,5353,,,,,,DESKTOP-5N4ENBI.local,DESKTOP-5N4ENBI.local,1,47,1,28,120,120,,,,
