confirmados,obitos,recuperados,ativos,data
1,0,0,1,2020-02-26
1,0,0,1,2020-02-27
1,0,0,1,2020-02-28
2,0,0,2,2020-02-29
2,0,0,2,2020-03-01
2,0,0,2,2020-03-02
2,0,0,2,2020-03-03
4,0,0,4,2020-03-04
4,0,0,4,2020-03-05
13,0,0,13,2020-03-06
13,0,0,13,2020-03-07
20,0,0,20,2020-03-08
25,0,0,25,2020-03-09
31,0,0,31,2020-03-10
38,0,0,38,2020-03-11
52,0,0,52,2020-03-12
151,0,0,151,2020-03-13
151,0,0,151,2020-03-14
162,0,0,162,2020-03-15
200,0,1,199,2020-03-16
321,1,2,318,2020-03-17
372,3,2,367,2020-03-18
621,6,2,613,2020-03-19
793,11,2,780,2020-03-20
1021,15,2,1004,2020-03-21
1546,25,2,1519,2020-03-22
1924,34,2,1888,2020-03-23
2247,46,2,2199,2020-03-24
2554,59,2,2493,2020-03-25
2985,77,6,2902,2020-03-26
3417,92,6,3319,2020-03-27
3904,111,6,3787,2020-03-28
4256,136,6,4114,2020-03-29
4579,159,120,4300,2020-03-30
5717,201,127,5389,2020-03-31
6836,240,127,6469,2020-04-01
8044,324,127,7593,2020-04-02
9056,359,127,8570,2020-04-03
10360,445,127,9788,2020-04-04
11130,486,127,10517,2020-04-05
12161,564,127,11470,2020-04-06
14034,686,127,13221,2020-04-07
16170,819,127,15224,2020-04-08
18092,950,173,16969,2020-04-09
19638,1057,173,18408,2020-04-10
20727,1124,173,19430,2020-04-11
22192,1223,173,20796,2020-04-12
23430,1328,173,21929,2020-04-13
25262,1532,3046,20684,2020-04-14
28320,1736,14026,12558,2020-04-15
30425,1924,14026,14475,2020-04-16
33682,2141,14026,17515,2020-04-17
36658,2354,14026,20278,2020-04-18
38654,2462,22130,14062,2020-04-19
40743,2587,22130,16026,2020-04-20
43079,2741,22991,17347,2020-04-21
45757,2906,25318,17533,2020-04-22
50036,3331,26573,20132,2020-04-23
54043,3704,27655,22684,2020-04-24
59324,4057,29160,26107,2020-04-25
63100,4286,30152,28662,2020-04-26
67446,4603,31142,31701,2020-04-27
73235,5083,32544,35608,2020-04-28
79685,5513,34132,40040,2020-04-29
87187,6006,35935,45246,2020-04-30
92202,6412,38039,47751,2020-05-01
97100,6761,40937,49402,2020-05-02
101826,7051,42991,51784,2020-05-03
108620,7367,45815,55438,2020-05-04
115455,7938,48221,59296,2020-05-05
126611,8588,51370,66653,2020-05-06
135773,9190,55350,71233,2020-05-07
146894,10017,59297,77580,2020-05-08
156061,10656,61685,83720,2020-05-09
162699,11123,64957,86619,2020-05-10
169594,11653,67384,90557,2020-05-11
178214,12461,72597,93156,2020-05-12
190137,13240,78424,98473,2020-05-13
203165,13999,79479,109687,2020-05-14
220291,14962,84970,120359,2020-05-15
233511,15662,89672,128177,2020-05-16
241080,16118,94122,130840,2020-05-17
255368,16853,100459,138056,2020-05-18
271885,17983,106794,147108,2020-05-19
294624,19059,116683,156037,2020-05-20
312761,20128,125960,164080,2020-05-21
334568,21159,135430,174412,2020-05-22
351565,22205,142587,182798,2020-05-23
366033,22863,149911,190634,2020-05-24
378840,23590,153833,197592,2020-05-25
395167,24644,158593,208117,2020-05-26
415366,25705,166647,219576,2020-05-27
443703,26895,177604,233880,2020-05-28
470593,28032,189476,247812,2020-05-29
502914,28896,200892,268714,2020-05-30
516137,29367,206555,278980,2020-05-31
531286,30108,211080,285430,2020-06-01
562963,31473,223638,300546,2020-06-02
589048,32667,238617,312851,2020-06-03
621002,34177,254963,325957,2020-06-04
653103,35253,266940,343805,2020-06-05
676893,36054,277149,359767,2020-06-06
694881,36530,283952,371351,2020-06-07
712219,37393,378257,292021,2020-06-08
743917,38586,396737,304360,2020-06-09
777707,39824,413916,318820,2020-06-10
806399,41092,429965,331944,2020-06-11
830681,41935,445123,341859,2020-06-12
851911,42792,459436,348358,2020-06-13
868705,43426,469141,355151,2020-06-14
893322,44190,477709,366603,2020-06-15
930305,45522,490005,387943,2020-06-16
961230,46707,521046,387821,2020-06-17
986750,47946,534580,395814,2020-06-18
1042809,49118,551631,432328,2020-06-19
1106332,50100,576779,440824,2020-06-20
1086536,50683,588118,444632,2020-06-21
1114728,51445,601736,453463,2020-06-22
1154255,52851,627963,465298,2020-06-23
1195288,53955,660469,474332,2020-06-24
1236752,55135,679524,493619,2020-06-25
1281636,56128,702399,516614,2020-06-26
1318556,57159,727715,528882,2020-06-27
1351439,57753,746018,540503,2020-06-28
